Index,Value,Extra
442,6.1638,3.088253324
443,6.31,3.060553559
444,6.4988,3.033509912
445,6.67,3.007343877
446,6.6801,2.981606304
447,6.5478,2.95590061
448,6.4285,2.930256127
449,6.35,2.907649397
450,6.3048,2.88444924
451,6.4195,2.861359582
452,6.647,2.839515469
453,6.6059,2.819906249
454,6.65,2.802628922
455,6.69,2.785725105
456,6.629,2.768807452
457,6.76,2.756792888
458,6.4499,2.746726638
459,6.5101,2.731908366
460,6.67,2.717760908
461,6.6481,2.705030171
462,6.7621,2.692639549
463,6.799,2.679141293
464,7.0215,2.66833878
465,7.1999,2.658760073
466,7.15,2.649383766
467,7.7644,2.641755541
468,7.6651,2.634513419
469,7.5421,2.627345081
470,7.621,2.622068345
471,8.4996,2.618464619
472,8.8,2.614813097
473,9.1098,2.612588493
474,8.87,2.610062822
475,8.52,2.606484357
476,8.8455,2.603974785
477,8.4096,2.599593245
478,8.4457,2.595268466
479,8.6,2.591959483
480,8.8,2.589179212
481,8.9,2.588027738
482,8.9,2.586976846
483,8.8881,2.585924774
484,8.7103,2.584994645
485,9.098,2.585931944
486,9.35,2.590499794
487,9.5503,2.59998547
488,10.53,2.611391795
489,10.97,2.626227057
490,10.984,2.632265526
491,10.87,2.641723189
492,10.8552,2.650876203
493,11.1,2.665696194
494,11.0553,2.680400213
495,11.0611,2.694616042
496,11.3864,2.7097142
497,11.5102,2.725209186
498,11.624,2.739198369
499,12.0375,2.753362472
500,12.19,2.768465123
501,13.25,2.786528576
502,13.5,2.805593864
503,11.5836,2.817192115
504,11.61,2.829427047
505,8,2.832214455
506,10.1,2.841925066
507,9.915,2.851035678
508,9.8068,2.86012068
509,10.1,2.871933125
510,10.6,2.881100782
511,10.5239,2.891202701
512,10.61,2.902851854
513,10.95,2.915154236
514,10.94,2.926947715
515,10.9169,2.937071571
516,10.777,2.946855093
517,10.16,2.956132736
518,9.9654,2.964449381
519,10.2041,2.972609478
520,10.53,2.980131678
521,10.3847,2.985239747
522,10.9997,2.992938157
523,11.181,2.999357355
524,11,3.001221824
525,11.037,3.002534888
526,11.02,3.006807709
527,11.17,3.012088025
528,11.3308,3.017069387
529,11.3649,3.021674786
530,11.399,3.024273747
531,11.67,3.027591619
532,11.75,3.031016397
533,11.87,3.035963952
534,11.89,3.041689122
535,12.25,3.050186638
536,12.5725,3.058203266
537,12.2825,3.064938369
538,12.368,3.072238192
539,12.2378,3.078980107
540,12.1933,3.085233072
541,12.1,3.089987641
542,12.197,3.095148825
543,12.27,3.100130495
544,12.3089,3.105249391
545,12.391,3.111585398
546,12.3631,3.117555056
547,12.4,3.12361801
548,12.4,3.129678321
549,12.84,3.136771298
550,12.89,3.143757476
551,12.85,3.150266477
552,12.688,3.155077403
553,12.505,3.15867395
554,11.8,3.160613923
555,11.7781,3.162497011
556,11.895,3.164249378
557,12.12,3.167225804
558,12.03,3.169678515
559,12,3.171898537
560,11.861,3.173349102
561,11.7389,3.173698557
562,11.8381,3.171613826
563,11.8499,3.169199509
564,11.81,3.166286036
565,11.9398,3.163956325
566,11.7401,3.161698732
567,11.7399,3.161056723
568,11.6311,3.160151919
569,11.7101,3.157767178
570,11.65,3.15584699
571,11.65,3.153942351
572,10.8616,3.15061995
573,10.1706,3.145828675
574,10.2605,3.142364173
575,10.7,3.139261646
576,10.6,3.135838404
577,10.8875,3.132944023
578,11.201,3.131199539
579,10.57,3.127455934
580,10.4688,3.123328659
581,10.6425,3.119306922
582,10.8001,3.115696968
583,10.748,3.112080255
584,10.899,3.108959031
585,10.92,3.105667658
586,10.925,3.102094477
587,10.815,3.098880569
588,10.89,3.095739391
589,10.8687,3.092449756
590,11.008,3.08742394
591,10.9512,3.082550067
592,10.95,3.078306663
593,11.1977,3.07389333
594,11.7489,3.070443411
595,11.7889,3.067499101
596,11.6515,3.064184786
597,11.7999,3.061528103
598,11.7328,3.058776301
599,11.77,3.056128131
600,12.4219,3.055526607
601,12.345,3.054903022
602,12.4115,3.054348765
603,12.4821,3.054000506
604,12.2455,3.053181751
605,12.2,3.052770182
606,12.3477,3.05334559
607,12.45,3.054426726
608,12.565,3.055952797
609,12.562,3.056573664
610,12.5,3.057100902
611,12.679,3.05823827
612,13.41,3.061760689
613,13.38,3.065062781
614,13.299,3.068088454
615,13.4999,3.07160795
616,13.4201,3.075098079
617,13.388,3.079018943
618,13.4334,3.08271497
619,13.557,3.087032282
620,13.6989,3.091431301
621,13.7001,3.095937205
622,13.6,3.100135132
623,13.4901,3.103999363
624,13.3,3.107291606
625,13.2501,3.111308507
626,13.299,3.116596683
627,13.599,3.122502715
628,13.5246,3.128169013
629,13.5,3.133885974
630,13.3714,3.139195469
631,13.312,3.145084261
632,13.38,3.150554748
633,13.35,3.156049615
634,13.4679,3.162144213
635,13.4217,3.168019792
636,13.4212,3.174079467
637,13.4,3.181335587
638,13.45,3.190174323
639,13.51,3.198992011
640,13.3041,3.206287845
641,13.28,3.215371941
642,13.3979,3.228481639
643,13.5,3.241129808
644,13.44,3.253878653
645,13.454,3.267447894
646,13.5876,3.279182208
647,13.7428,3.291394098
648,13.77,3.305107047
649,14.14,3.319505226
650,14.137,3.332779934
651,14.237,3.347208601
652,14.116,3.361939693
653,14.3,3.376248318
654,14.25,3.387414772
655,14.73,3.400724509
656,15.5,3.417282237
657,15.705,3.434690851
658,15.615,3.45094398
659,15.7,3.46772427
660,16.8,3.487573019
661,17.2614,3.508430491
662,17.5,3.528392162
663,16.896,3.545512815
664,17.4,3.56381236
665,17.88,3.584263748
666,17.8182,3.603794404
667,18.721,3.626015432
668,19.5254,3.650330714
669,19.7,3.676648652
670,20.41,3.704875931
671,20.499,3.732863804
672,19.63,3.758145128
673,20.59,3.785453762
674,20.4301,3.811585118
675,20.6,3.838730551
676,21.18,3.867113703
677,22.15,3.898672214
678,22.66,3.9317367
679,23.65,3.966537795
680,23.9698,4.001858217
681,24.65,4.038217292
682,25.1698,4.073691714
683,24.2,4.106013076
684,27.2205,4.146322681
685,27.1,4.186526774
686,27.2158,4.226385005
687,26.8146,4.265449729
688,26.95,4.304668466
689,29.4176,4.350238012
690,29.645,4.396681093
691,29.7477,4.444848502
692,30.2454,4.494240181
693,29.8,4.541543431
694,29.89,4.589332237
695,30.4,4.638436103
696,31.1,4.689037827
697,30.9012,4.738895828
698,33.38,4.795516045
699,34.5,4.854408402
700,34.25,4.912166815
701,34.5,4.970967396
702,36.152,5.034523624
703,40.33,5.10929193
704,41.0201,5.185552816
705,42,5.26421704
706,44.18,5.348386977
707,46.85,5.439498056
708,46,5.528198436
709,48.4,5.623109187
710,44.2899,5.70751803
711,46.92,5.799131046
712,47.1696,5.890979971
713,46.95,5.981975288
714,47.0002,6.072458244
715,47.4,6.163907879
716,51.6,6.264929669
717,59.14,6.386615762
718,64.4888,6.522461004
719,70.85,6.674953314
720,69.865,6.824226244
721,64.35,6.957932015
722,71.5,7.110398656
723,73.6,7.268308659
724,78.5,7.439631351
725,88.92,7.638822221
726,86.18,7.829967913
727,90.5,8.032463392
728,92.19,8.239037459
729,93.03,8.446998718
730,104,8.684644374
731,117.98,8.959652871
732,135,9.280171725
733,132.12,9.591841118
734,142.3236,9.930490101
735,142.6311,10.26820152
736,162.301,10.65888345
737,187.5,11.1174218
738,230,11.69058557
739,165,12.08468723
740,124.9,12.36797428
741,117,12.62880411
742,93,12.82324551
743,90,13.00882644
744,82.386,13.17283735
745,68.3557,13.29802595
746,93.07,13.49062435
747,109.01,13.72614025
748,118.48,13.98730292
749,126.6155,14.26956868
750,119.2,14.5304823
751,127.4,14.81225586
752,143.475,15.13738813
753,154.2,15.49085213
754,141.71,15.80895591
755,136.9,16.11290382
756,128.0001,16.39117128
757,134.4444,16.68590558
758,134.444,16.97978128
759,144,17.29892132
760,139,17.60354717
761,116.38,17.84552007
762,106.25,18.05878509
